candidato, partido, numero
yoda, partido do jedi, 37
yoda, nenhum, 66
nulo, partido do jedi, 0
chuck_norris, nenhum, 66
chuck_norris, partido do sayajin, 0
vader, lado negro da forca, 99
vader, lobo solitario, 8
nulo, lobo solitario, 37
yoda, partido do jedi, 99
goku, lobo solitario, 99
yoda, lado negro da forca, 66
vader, lado negro da forca, 66
vader, partido do sayajin, 37
nulo, lobo solitario, 99
nulo, lobo solitario, 99
nulo, partido do jedi, 66
nulo, nenhum, 8
chuck_norris, nenhum, 99
vader, partido do jedi, 37
yoda, lado negro da forca, 66
chuck_norris, nenhum, 37
goku, lado negro da forca, 99
chuck_norris, lobo solitario, 99
yoda, partido do jedi, 66
nulo, nenhum, 37
vader, partido do sayajin, 8
nulo, lobo solitario, 66
chuck_norris, nenhum, 0
yoda, lado negro da forca, 0
chuck_norris, lado negro da forca, 66
vader, lado negro da forca, 37
chuck_norris, partido do jedi, 99
vader, lado negro da forca, 37
goku, lobo solitario, 8
goku, lado negro da forca, 37
chuck_norris, partido do jedi, 66
nulo, lado negro da forca, 8
goku, lobo solitario, 8
goku, lobo solitario, 99
nulo, partido do jedi, 66
vader, nenhum, 37
chuck_norris, partido do sayajin, 0
yoda, lado negro da forca, 37
goku, nenhum, 66
vader, nenhum, 99
nulo, partido do sayajin, 37
yoda, lado negro da forca, 66
yoda, nenhum, 99
nulo, partido do jedi, 37
nulo, nenhum, 0
chuck_norris, partido do jedi, 0
chuck_norris, nenhum, 37
yoda, partido do sayajin, 0
goku, lobo solitario, 0
nulo, partido do jedi, 37
vader, lobo solitario, 0
goku, lado negro da forca, 66
yoda, lado negro da forca, 66
yoda, partido do jedi, 66
goku, partido do sayajin, 99
nulo, lado negro da forca, 37
goku, partido do jedi, 0
vader, lado negro da forca, 37
goku, partido do sayajin, 66
yoda, nenhum, 66
yoda, lado negro da forca, 99
yoda, partido do sayajin, 37
yoda, partido do sayajin, 66
nulo, partido do jedi, 0
vader, partido do sayajin, 0
nulo, partido do jedi, 8
chuck_norris, nenhum, 99
goku, nenhum, 99
chuck_norris, lobo solitario, 0
goku, lobo solitario, 8
nulo, partido do sayajin, 99
nulo, lado negro da forca, 8
goku, partido do jedi, 37
yoda, nenhum, 99
goku, lobo solitario, 66
chuck_norris, nenhum, 37
nulo, partido do jedi, 8
chuck_norris, lado negro da forca, 99
vader, nenhum, 66
nulo, partido do jedi, 0
nulo, partido do jedi, 37
chuck_norris, partido do jedi, 66
vader, lobo solitario, 8
nulo, lobo solitario, 66
goku, partido do sayajin, 66
vader, lado negro da forca, 37
nulo, partido do sayajin, 37
yoda, partido do jedi, 8
goku, lobo solitario, 0
chuck_norris, partido do jedi, 99
nulo, partido do jedi, 8
vader, lobo solitario, 99
chuck_norris, partido do sayajin, 37
vader, partido do sayajin, 99
nulo, lado negro da forca, 0
nulo, partido do jedi, 37
chuck_norris, lado negro da forca, 0
yoda, lobo solitario, 37
goku, nenhum, 99
yoda, partido do sayajin, 99
goku, lado negro da forca, 8
nulo, partido do sayajin, 37
nulo, lado negro da forca, 66
chuck_norris, lobo solitario, 99
vader, partido do jedi, 8
vader, nenhum, 0
chuck_norris, partido do jedi, 8
goku, partido do jedi, 0
vader, lobo solitario, 66
vader, nenhum, 99
goku, lado negro da forca, 0
chuck_norris, nenhum, 0
vader, lobo solitario, 66
nulo, nenhum, 37
nulo, partido do jedi, 0
vader, lado negro da forca, 37
vader, partido do sayajin, 37
chuck_norris, nenhum, 37
goku, partido do jedi, 0
goku, partido do jedi, 8
vader, partido do sayajin, 8
nulo, partido do sayajin, 66
nulo, partido do sayajin, 66
goku, lobo solitario, 37
goku, partido do sayajin, 99
vader, lado negro da forca, 66
goku, nenhum, 8
goku, nenhum, 99
goku, lobo solitario, 37
chuck_norris, partido do sayajin, 99
chuck_norris, lado negro da forca, 37
yoda, nenhum, 0
nulo, partido do jedi, 66
yoda, partido do sayajin, 66
vader, partido do sayajin, 37
goku, lobo solitario, 66
vader, partido do sayajin, 0
chuck_norris, lobo solitario, 99
chuck_norris, partido do sayajin, 0
vader, partido do jedi, 0
nulo, lobo solitario, 37
vader, nenhum, 99
yoda, lado negro da forca, 37
yoda, partido do jedi, 8
chuck_norris, partido do jedi, 99
nulo, nenhum, 37
nulo, partido do jedi, 66
nulo, lado negro da forca, 66
nulo, partido do jedi, 37
goku, lado negro da forca, 0
yoda, nenhum, 8
nulo, nenhum, 99
goku, partido do jedi, 37
chuck_norris, partido do sayajin, 66
vader, partido do sayajin, 8
chuck_norris, lobo solitario, 8
vader, lado negro da forca, 0
goku, lobo solitario, 8
nulo, nenhum, 37
chuck_norris, lado negro da forca, 66
chuck_norris, partido do jedi, 0
vader, partido do jedi, 8
nulo, nenhum, 99
nulo, lobo solitario, 99
yoda, lado negro da forca, 37
yoda, partido do sayajin, 8
chuck_norris, partido do sayajin, 0
chuck_norris, partido do jedi, 37
vader, lado negro da forca, 37
yoda, nenhum, 66
goku, partido do sayajin, 99
vader, partido do sayajin, 66
yoda, partido do jedi, 66
goku, partido do jedi, 8
yoda, nenhum, 37
goku, lado negro da forca, 8
yoda, lado negro da forca, 0
vader, partido do jedi, 37
chuck_norris, nenhum, 99
goku, lado negro da forca, 66
nulo, partido do sayajin, 8
yoda, lado negro da forca, 99
vader, partido do sayajin, 0
vader, partido do sayajin, 37
vader, lobo solitario, 99
goku, nenhum, 37
chuck_norris, lado negro da forca, 8
nulo, lado negro da forca, 8
nulo, nenhum, 66
nulo, partido do sayajin, 66
nulo, lado negro da forca, 8
goku, lobo solitario, 0
yoda, lobo solitario, 8
chuck_norris, lado negro da forca, 99
goku, nenhum, 8
chuck_norris, partido do sayajin, 0
vader, nenhum, 66
chuck_norris, nenhum, 99
chuck_norris, partido do jedi, 99
chuck_norris, nenhum, 0
goku, partido do sayajin, 66
goku, partido do sayajin, 37
goku, partido do sayajin, 99
chuck_norris, nenhum, 66
vader, lado negro da forca, 66
nulo, nenhum, 66
goku, partido do sayajin, 99
nulo, partido do sayajin, 99
chuck_norris, partido do jedi, 37
yoda, nenhum, 66
chuck_norris, partido do jedi, 99
goku, nenhum, 99
goku, partido do jedi, 8
chuck_norris, partido do jedi, 37
goku, lobo solitario, 66
goku, partido do sayajin, 66
nulo, partido do sayajin, 37
nulo, lado negro da forca, 37
goku, lado negro da forca, 99
yoda, partido do sayajin, 0
vader, partido do sayajin, 99
yoda, partido do jedi, 8
nulo, lobo solitario, 37
chuck_norris, nenhum, 37
chuck_norris, lado negro da forca, 66
vader, lobo solitario, 37
vader, lobo solitario, 66
nulo, partido do jedi, 66
vader, partido do sayajin, 37
yoda, partido do sayajin, 8
chuck_norris, partido do sayajin, 99
goku, lado negro da forca, 99
chuck_norris, lobo solitario, 0
yoda, lado negro da forca, 0
yoda, partido do jedi, 8
goku, lobo solitario, 99
vader, partido do sayajin, 8
chuck_norris, partido do sayajin, 99
vader, lobo solitario, 37
goku, nenhum, 37
chuck_norris, partido do jedi, 37
nulo, nenhum, 99
goku, lobo solitario, 37
vader, partido do jedi, 8
yoda, partido do jedi, 99
